,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,1098.0009711722141,1686.0009711722141,2581.000971172214,2170.000971172214
1,2.0,1123.0009711722141,1692.0009711722141,2579.000971172214,2178.000971172214
2,3.0,1127.000971500515,1680.000971500515,2578.000971500515,2169.000971500515
3,4.0,1137.0009713911265,1675.0009713911265,2575.0009713911263,2157.0009713911263
4,5.0,1140.0009711722141,1671.0009711722141,2570.000971172214,2160.000971172214
5,6.0,1144.000971609904,1673.000971609904,2566.000971609904,2155.000971609904
6,7.0,1137.0009711722141,1661.0009711722141,2563.000971172214,2153.000971172214
7,8.0,1153.000971500515,1664.000971500515,2560.000971500515,2154.000971500515
8,9.0,1156.000971500515,1674.000971500515,2557.000971500515,2149.000971500515
9,10.0,1159.000971500515,1665.000971500515,2552.000971500515,2143.000971500515
10,11.0,1162.0009717193605,1655.0009717193605,2548.00097171936,2141.00097171936
11,12.0,1156.000971500515,1656.000971500515,2546.000971500515,2137.000971500515
12,13.0,1156.000971500515,1662.000971500515,2541.000971500515,2142.000971500515
13,14.0,1162.0009717193605,1658.0009717193605,2537.00097171936,2134.00097171936
14,15.0,1162.0009717193605,1652.0009717193605,2531.00097171936,2110.00097171936
15,16.0,1159.000971500515,1639.000971500515,2526.000971500515,2122.000971500515
16,17.0,1164.0009712816702,1646.0009712816702,2529.00097128167,2122.00097128167
17,18.0,1157.000971828749,1643.000971828749,2526.000971828749,2125.000971828749
18,19.0,1162.000971828749,1633.000971828749,2522.000971828749,2118.000971828749
19,20.0,1158.0009711722141,1637.0009711722141,2521.000971172214,2113.000971172214
20,21.0,1159.0009711722141,1638.0009711722141,2517.000971172214,2113.000971172214
21,22.0,1154.000971500515,1635.000971500515,2513.000971500515,2108.000971500515
22,23.0,1145.000971500515,1622.000971500515,2510.000971500515,2111.000971500515
23,24.0,1158.0009713911265,1640.0009713911265,2507.0009713911263,2105.0009713911263
24,25.0,1149.000971500515,1627.000971500515,2502.000971500515,2094.000971500515
25,26.0,1148.000971609904,1625.000971609904,2502.000971609904,2094.000971609904
26,27.0,1150.0009708439804,1617.0009708439804,2497.00097084398,2088.00097084398
27,28.0,1148.0009712816702,1610.0009712816702,2493.00097128167,2089.00097128167
28,29.0,1151.0009711722141,1614.0009711722141,2491.000971172214,2086.000971172214
29,30.0,1141.0009711722141,1608.0009711722141,2486.000971172214,2079.000971172214
30,31.0,1136.0009712816702,1604.0009712816702,2483.00097128167,2074.00097128167
31,32.0,1137.0009719381376,1608.0009719381376,2479.0009719381374,2070.0009719381374
32,33.0,1141.0009710628933,1602.0009710628933,2477.0009710628933,2076.0009710628933
33,34.0,1129.0009712816702,1599.0009712816702,2476.00097128167,2064.00097128167
34,35.0,1134.0009710628933,1599.0009710628933,2470.0009710628933,2067.0009710628933
35,36.0,1132.0009713911265,1598.0009713911265,2468.0009713911263,2065.0009713911263
36,37.0,1127.000971500515,1601.000971500515,2464.000971500515,2061.000971500515
37,38.0,1128.000971500515,1591.000971500515,2461.000971500515,2055.000971500515
38,39.0,1138.0009717193605,1576.0009717193605,2458.00097171936,2052.00097171936
39,40.0,1118.0009712816702,1577.0009712816702,2455.00097128167,2050.00097128167
