,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,,1654.3170617579485,2530.3170617579485,2220.3170617579485
1,2.0,828.8431115721299,1650.84311157213,2530.84311157213,2216.84311157213
2,3.0,855.7280242423504,1642.7280242423508,2530.728024242351,2192.728024242351
3,4.0,866.2462001009791,1648.2462001009787,2527.246200100979,2149.246200100979
4,5.0,861.6958542197673,1649.6958542197672,2526.695854219767,2120.695854219767
5,6.0,877.3004019611274,1647.3004019611274,2523.3004019611276,2110.3004019611276
6,7.0,864.6579008004421,1641.6579008004421,2521.6579008004423,2108.6579008004423
7,8.0,879.6239882127552,1646.6239882127554,2519.6239882127556,2098.6239882127556
8,9.0,884.6725608628336,1642.6725608628337,2517.6725608628335,2098.6725608628335
9,10.0,894.6220077379693,1632.6220077379694,2512.6220077379694,2089.6220077379694
10,11.0,888.5840544299316,1648.5840544299317,2512.5840544299317,2092.5840544299317
11,12.0,890.5656527231854,1634.5656527231856,2509.565652723186,2090.565652723186
12,13.0,889.0338017841932,1636.0338017841932,2506.033801784193,2090.033801784193
13,14.0,888.5462777426486,1618.5462777426487,2503.5462777426487,2078.5462777426487
14,15.0,963.0154880605741,1634.015488060574,2501.015488060574,2089.015488060574
15,16.0,893.5569870389131,1633.556987038913,2496.5569870389127,2069.5569870389127
16,17.0,892.989257702501,1623.9892577025012,2492.989257702501,2068.989257702501
17,18.0,,897.9872398053659,1620.987239805366,2065.9872398053662
18,19.0,897.9639489672854,1611.9639489672857,2488.9639489672854,2053.9639489672854
19,20.0,884.9483099391002,1619.9483099391,2486.9483099391,2062.9483099391
20,21.0,894.4725312824166,1608.4725312824169,2484.472531282417,2059.472531282417
21,22.0,894.463263259752,1614.463263259752,2481.4632632597522,2051.4632632597522
22,23.0,900.4394396378581,1603.4394396378582,2460.439439637858,2051.439439637858
23,24.0,891.9173243935143,1611.9173243935145,2478.9173243935143,2045.9173243935145
24,25.0,897.9057162361654,1597.9057162361653,2469.9057162361655,2040.9057162361653
25,26.0,898.8932525467936,1597.8932525467935,2466.8932525467935,2042.8932525467935
26,27.0,897.8941374034964,1599.8941374034962,2466.894137403496,2037.8941374034962
27,28.0,891.9553631662328,1592.9553631662332,2462.955363166233,2031.9553631662332
28,29.0,889.400641525201,1607.400641525201,2458.400641525201,2027.400641525201
29,30.0,900.4249462363008,1602.4249462363005,2451.4249462363005,2029.4249462363005
30,31.0,898.4511417953155,1585.4511417953156,2448.451141795316,2030.4511417953156
31,32.0,889.5055760883924,1606.5055760883924,2455.5055760883924,2023.5055760883924
32,33.0,893.4395559618463,1580.4395559618463,2444.439555961846,2013.4395559618463
33,34.0,889.3792882607015,1584.3792882607015,2440.3792882607013,2019.3792882607015
34,35.0,887.3753757956949,1584.375375795695,2428.375375795695,2007.375375795695
35,36.0,887.3734645939803,1576.37346459398,2429.3734645939803,2012.37346459398
36,37.0,876.3609432379151,1588.360943237915,2427.360943237915,2007.360943237915
37,38.0,877.3735806977677,1551.373580697768,2356.373580697768,2073.373580697768
38,39.0,877.3774463284643,1575.3774463284644,2403.3774463284644,2005.3774463284644
39,40.0,872.9509057700602,1580.9509057700602,2400.95090577006,2000.9509057700602
40,41.0,869.3482242527265,1560.3482242527266,2376.3482242527266,1990.3482242527266
41,42.0,883.3909674398467,1569.390967439847,2342.390967439847,1996.390967439847
42,43.0,879.3899835525174,1573.3899835525174,2344.389983552517,1997.3899835525174
43,44.0,875.9421664394803,1571.9421664394802,2333.9421664394804,1990.9421664394802
44,45.0,870.019867605523,1571.019867605523,2328.019867605523,1991.019867605523
45,46.0,870.9373174692112,1568.9373174692112,2327.937317469211,1981.9373174692112
46,47.0,871.9276281711153,1559.9276281711152,2325.927628171115,1982.9276281711152
47,48.0,865.9188857781983,1574.9188857781983,2325.9188857781983,1977.9188857781983
48,49.0,873.9101427249485,1545.9101427249484,2323.9101427249484,1978.9101427249484
49,50.0,867.9062565238444,1547.9062565238444,2323.9062565238446,1977.9062565238444
50,51.0,864.8926681144205,1534.8926681144205,2321.8926681144208,1979.8926681144205
51,52.0,869.9470193468559,1557.9470193468558,2317.9470193468555,1974.9470193468558
52,53.0,864.8848534690349,1554.8848534690349,2314.8848534690346,1969.8848534690349
53,54.0,861.2870428072781,1548.287042807278,2311.287042807278,1971.287042807278
54,55.0,866.8906891748725,1552.8906891748725,2314.8906891748725,1965.8906891748725
55,56.0,870.544896760593,1537.544896760593,2314.544896760593,1958.544896760593
56,57.0,865.8964495893013,1538.8964495893013,2312.896449589301,1962.8964495893013
57,58.0,858.9333496320259,1532.9333496320257,2309.933349632026,1964.9333496320257
58,59.0,851.9683132994926,1546.9683132994926,2309.9683132994924,1962.9683132994926
59,60.0,863.8624284440104,1541.8624284440104,2307.86242844401,1955.8624284440104
60,61.0,866.1136035310194,1542.1136035310194,2306.1136035310196,1954.1136035310194
61,62.0,866.0009702099608,1537.0009702099608,2306.0009702099605,1954.0009702099608
62,63.0,859.0009694439019,1522.000969443902,2305.000969443902,1947.000969443902
63,64.0,862.0009694439019,1525.000969443902,2307.000969443902,1942.000969443902
64,65.0,855.2679291789415,1532.2679291789416,2305.2679291789414,1947.2679291789416
65,66.0,843.0951405428738,1529.0951405428739,2304.0951405428737,1942.0951405428739
66,67.0,860.000969772271,1509.0009697722708,2303.0009697722708,1937.0009697722708
67,68.0,853.0009690062798,1511.0009690062795,2302.0009690062793,1943.0009690062795
68,69.0,856.0009691156683,1520.000969115668,2301.000969115668,1935.000969115668
69,70.0,859.0009696628146,1523.0009696628144,2300.0009696628144,1931.0009696628144
70,71.0,849.0164966334364,1515.0164966334364,2296.0164966334364,1931.0164966334364
71,72.0,854.0164979466416,1503.0164979466415,2294.0164979466413,1936.0164979466415
72,73.0,842.0009694439019,1510.000969443902,2295.000969443902,1930.000969443902
73,74.0,848.0009690062798,1514.0009690062795,2294.0009690062793,1924.0009690062795
74,75.0,848.0009690062798,1503.0009690062795,2294.0009690062793,1927.0009690062795
75,76.0,847.0009692251247,1498.0009692251247,2291.000969225124,1924.0009692251247
76,77.0,920.1058442588297,1468.1058442588298,2291.1058442588296,1925.1058442588298
77,78.0,839.7653396765135,1489.7653396765133,2288.765339676513,1916.7653396765131
78,79.0,846.575800452813,1495.5758004528132,2281.575800452813,1916.5758004528132
79,80.0,840.5438151508924,1494.5438151508924,2279.5438151508924,1910.5438151508924
80,81.0,836.5953473498536,1481.5953473498535,2286.5953473498535,1907.5953473498535
81,82.0,836.9381990383572,1482.9381990383572,2281.938199038357,1910.9381990383572
82,83.0,838.893454696384,1476.893454696384,2274.893454696384,1911.893454696384
83,84.0,828.8886168878174,1501.8886168878173,2277.8886168878175,1907.8886168878173
84,85.0,830.5817417586941,1472.581741758694,2274.581741758694,1908.581741758694
85,86.0,824.8887195348443,1465.8887195348443,2271.8887195348443,1901.8887195348443
86,87.0,824.950914305759,1468.950914305759,2264.950914305759,1898.950914305759
87,88.0,831.904250007799,1450.904250007799,2271.904250007799,1908.904250007799
88,89.0,815.9508591529676,1457.9508591529677,2261.9508591529675,1897.9508591529677
89,90.0,814.6031007132298,1461.6031007132297,2267.6031007132297,1884.6031007132297
90,91.0,814.9683435054525,1448.9683435054524,2266.9683435054526,1888.9683435054524
91,92.0,809.907084254286,1463.907084254286,2259.907084254286,1884.907084254286
92,93.0,807.9012356370035,1461.9012356370035,2259.9012356370035,1880.9012356370035
93,94.0,809.3820257710777,1467.3820257710777,2257.382025771078,1827.382025771078
94,95.0,803.9934364400905,1442.9934364400904,2253.99343644009,1877.9934364400904
95,96.0,801.3333003491214,1445.3333003491214,2250.3333003491216,1870.3333003491216
96,97.0,803.3584867407225,1448.3584867407224,2248.358486740722,1875.3584867407221
97,98.0,796.971074337226,1451.9710743372261,2233.971074337226,1873.9710743372261
98,99.0,801.3828524065482,1456.3828524065482,2235.382852406548,1866.382852406548
99,100.0,801.4013601523842,1434.4013601523843,2241.401360152384,1856.401360152384
100,101.0,806.3401906355795,1443.3401906355793,2237.3401906355793,1863.3401906355793
101,102.0,799.3984473322887,1438.3984473322887,2234.3984473322885,1856.3984473322885
102,103.0,794.447997969496,1437.4479979694959,2228.447997969496,1853.4479979694959
103,104.0,782.9090208443874,1414.9090208443874,2206.9090208443877,1851.9090208443874
104,105.0,786.8355770364719,1419.835577036472,2228.835577036472,1842.835577036472
105,106.0,776.3402740243191,1457.3402740243191,2198.340274024319,1839.3402740243191
106,107.0,785.9245622592503,1452.9245622592503,2212.9245622592503,1839.9245622592503
107,108.0,779.4150977176242,1411.4150977176243,2216.415097717624,1842.4150977176243
108,109.0,774.39757998881,1419.39757998881,2204.39757998881,1830.3975799888099
109,110.0,763.8308790806749,1416.830879080675,2210.830879080675,1829.830879080675
110,111.0,771.8581318488905,1392.8581318488905,2202.8581318488905,1830.8581318488905
111,112.0,765.7695941132271,1418.7695941132272,2187.7695941132274,1822.7695941132274
112,113.0,753.3343977199979,1409.3343977199982,2192.3343977199984,1822.3343977199984
113,114.0,765.4052783095974,1403.4052783095974,2156.4052783095976,1816.4052783095974
114,115.0,747.7629944807943,1404.7629944807943,2181.762994480794,1814.7629944807943
115,116.0,748.7591512820775,1397.7591512820775,2173.7591512820777,1816.7591512820777
116,117.0,737.2559751890734,1392.2559751890735,2170.255975189074,1811.2559751890738
117,118.0,744.2577770693631,1406.257777069363,2169.257777069363,1801.257777069363
118,119.0,740.245028426785,1394.245028426785,2156.2450284267848,1798.245028426785
119,120.0,739.7393320101589,1391.739332010159,2157.739332010159,1797.739332010159
120,121.0,741.2596223936631,1373.259622393663,2153.2596223936625,1793.2596223936628
121,122.0,728.8083990094673,1372.8083990094672,2157.8083990094674,1784.8083990094672
122,123.0,732.8026229467773,1378.8026229467773,2143.8026229467773,1785.8026229467773
123,124.0,722.718227046102,1366.7182270461021,2125.718227046102,1782.7182270461024
