,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,824.2383121362304,1638.2383121362304,2525.2383121362304,2231.2383121362304
1,2.0,845.5913430436876,1637.5913430436876,2524.5913430436876,2236.5913430436876
2,3.0,874.905291418864,1647.905291418864,2520.9052914188637,2235.9052914188637
3,4.0,875.1179752152507,1643.1179752152507,2518.1179752152507,2232.1179752152507
4,5.0,880.0817552101644,1628.0817552101644,2517.0817552101644,2127.0817552101644
5,6.0,892.2941172650825,1651.2941172650824,2514.2941172650826,2118.2941172650826
6,7.0,893.733369654202,1637.7333696542019,2512.733369654202,2107.733369654202
7,8.0,894.2369659912109,1639.236965991211,2508.236965991211,2091.236965991211
8,9.0,896.9044458020697,1649.9044458020699,2516.90444580207,2088.90444580207
9,10.0,908.4231219197591,1620.423121919759,2506.423121919759,2083.423121919759
10,11.0,908.1987351527913,1618.1987351527914,2491.1987351527914,2092.1987351527914
11,12.0,903.3923876989068,1618.3923876989068,2502.392387698907,2088.392387698907
12,13.0,910.5420217692736,1611.5420217692736,2496.5420217692736,2075.5420217692736
13,14.0,898.6644463989936,1638.6644463989935,2491.6644463989937,2065.6644463989937
14,15.0,909.8889918834093,1624.8889918834093,2490.8889918834093,2063.8889918834093
15,16.0,908.5665154231093,1615.5665154231092,2486.566515423109,2064.566515423109
16,17.0,896.5681632455784,1611.5681632455783,2484.5681632455785,2051.5681632455785
17,18.0,901.4947771289062,1612.4947771289062,2476.494777128906,2043.4947771289062
18,19.0,889.941781602105,1601.941781602105,2476.941781602105,2041.941781602105
19,20.0,904.647693000963,1604.647693000963,2475.647693000963,2041.647693000963
20,21.0,894.6623495962864,1601.6623495962863,2471.6623495962863,2025.6623495962863
21,22.0,,894.8801379138862,1603.880137913886,2028.880137913886
22,23.0,892.8175107993571,1587.817510799357,2464.817510799357,2026.817510799357
23,24.0,889.7935370197212,1579.793537019721,2460.793537019721,2019.793537019721
24,25.0,889.5680253000216,1600.5680253000216,2452.568025300022,2017.5680253000216
25,26.0,889.8267920958795,1574.8267920958795,2459.8267920958792,2011.8267920958795
26,27.0,885.9329570520019,1577.932957052002,2450.932957052002,2014.932957052002
27,28.0,887.9913101348877,1577.9913101348877,2449.9913101348875,2003.9913101348877
28,29.0,874.2932799013265,1577.2932799013265,2447.2932799013265,2005.2932799013265
