,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,1144.0009711722141,1692.0009711722141,2579.000971172214,2172.000971172214
1,2.0,1159.0009717193605,1691.0009717193605,2574.00097171936,2175.00097171936
2,3.0,1179.0009717193605,1674.0009717193605,2573.00097171936,2161.00097171936
3,4.0,1189.0009712816702,1684.0009712816702,2569.00097128167,2165.00097128167
4,5.0,1182.000971609904,1676.000971609904,2566.000971609904,2157.000971609904
5,6.0,1189.000971609904,1663.000971609904,2563.000971609904,2159.000971609904
6,7.0,1203.000971609904,1664.000971609904,2559.000971609904,2152.000971609904
7,8.0,1189.000971500515,1678.000971500515,2556.000971500515,2152.000971500515
8,9.0,1188.0009712816702,1675.0009712816702,2552.00097128167,2147.00097128167
9,10.0,1204.0009713911265,1677.0009713911265,2548.0009713911263,2138.0009713911263
10,11.0,1203.0009717193605,1666.0009717193605,2544.00097171936,2139.00097171936
11,12.0,1204.0009713911265,1666.0009713911265,2541.0009713911263,2129.0009713911263
12,13.0,1200.000971609904,1659.000971609904,2538.000971609904,2130.000971609904
13,14.0,1200.000971500515,1667.000971500515,2533.000971500515,2128.000971500515
14,15.0,1186.000972047594,1650.000972047594,2532.0009720475937,2130.0009720475937
15,16.0,1198.000971500515,1653.000971500515,2524.000971500515,2116.000971500515
16,17.0,1188.000971609904,1651.000971609904,2522.000971609904,2111.000971609904
17,18.0,1183.0009712816702,1647.0009712816702,2518.00097128167,2108.00097128167
18,19.0,1188.0009717193605,1652.0009717193605,2516.00097171936,2104.00097171936
19,20.0,1187.0009711722141,1643.0009711722141,2511.000971172214,2097.000971172214
20,21.0,1177.000971609904,1645.000971609904,2507.000971609904,2091.000971609904
21,22.0,1186.0009713911265,1623.0009713911265,2503.0009713911263,2097.0009713911263
22,23.0,1170.0009711722141,1634.0009711722141,2500.000971172214,2087.000971172214
23,24.0,1156.000971609904,1627.000971609904,2493.000971609904,2082.000971609904
24,25.0,1172.0009719381376,1616.0009719381376,2489.0009719381374,2074.0009719381374
25,26.0,1168.099902741835,1650.099902741835,2508.0999027418347,2094.0999027418347
26,27.0,1147.0009717193605,1621.0009717193605,2476.00097171936,2060.00097171936
27,28.0,1139.0009713911265,1617.0009713911265,2468.0009713911263,2051.0009713911263
28,29.0,1133.0009719381376,1611.0009719381376,2462.0009719381374,2048.0009719381374
29,30.0,1123.000971828749,1605.000971828749,2458.000971828749,2043.000971828749
30,31.0,1116.0009713911265,1590.0009713911265,2453.0009713911263,2034.0009713911265
31,32.0,1108.0009713911265,1606.0009713911265,2448.0009713911263,2034.0009713911265
32,33.0,1105.0009717193605,1583.0009717193605,2442.00097171936,2026.0009717193605
33,34.0,1104.0009711722141,1578.0009711722141,2438.000971172214,2020.0009711722141
