,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,602.0004861116197,1484.0004861116197,2419.00048611162,2054.00048611162
1,2.0,,,2856.000485783522,2056.000485783522
2,3.0,629.000485455424,1550.000485455424,2434.000485455424,2054.000485455424
3,4.0,,,2885.0004865490723,2097.0004865490723
4,5.0,645.0004858928766,1542.0004858928764,2437.0004858928764,2058.0004858928764
5,6.0,647.000486002265,1557.0004860022648,2442.0004860022646,2061.0004860022646
6,7.0,651.000485455424,1540.000485455424,2447.000485455424,2051.000485455424
7,8.0,643.2815778743151,1510.281577874315,2455.281577874315,2053.281577874315
8,9.0,668.3638667357042,1552.3638667357043,2445.363866735704,2074.363866735704
9,10.0,664.0004862209744,1499.0004862209744,2431.0004862209744,2052.0004862209744
10,11.0,,,2892.0982338065933,2063.0982338065933
11,12.0,664.4028348260837,1525.4028348260838,2431.4028348260836,2075.4028348260836
12,13.0,,,2887.705211623569,2058.705211623569
13,14.0,667.0004858928766,1539.0004858928764,2423.0004858928764,2047.0004858928764
14,15.0,669.0004858928766,1573.0004858928764,2431.0004858928764,2041.0004858928764
15,16.0,663.9901285111491,1541.9901285111491,2433.990128511149,2046.9901285111491
16,17.0,665.6623911278622,1537.6623911278625,2424.662391127863,2059.662391127863
17,18.0,666.2146088619317,1568.2146088619318,2425.2146088619315,2055.2146088619315
18,19.0,681.0004855647785,1550.0004855647785,2428.000485564778,2059.000485564778
19,20.0,667.3922940049235,1476.3922940049235,2432.3922940049233,2051.3922940049233
20,21.0,673.3671802141316,1520.3671802141316,2432.3671802141316,2056.3671802141316
21,22.0,648.1270373590427,1528.1270373590428,2439.127037359043,2016.1270373590428
22,23.0,669.0004861116197,1514.0004861116197,2415.00048611162,2057.00048611162
23,24.0,670.2884494135538,1538.288449413554,2425.2884494135537,2036.288449413554
24,25.0,668.0990709534369,1559.099070953437,2423.099070953437,2037.099070953437
25,26.0,694.1974129024929,1536.197412902493,2442.197412902493,2053.197412902493
26,27.0,668.2234148050266,1486.2234148050266,2424.2234148050266,2019.2234148050266
27,28.0,679.8732908989123,1496.8732908989123,2423.8732908989123,2032.8732908989123
